LOC_ID,ANIMAL_ID,SO
1,9,17
5,19,13
7,20,17
8,20,16
9,21,20
11,5,14
15,18,12
19,38,15
19,39,19
27,4,4
29,12,1
30,12,1
31,15,4
33,1,5
33,1,9
33,16,5
33,17,6
34,14,2
35,14,2
38,11,9
38,13,2
38,13,9
39,11,7
41,11,24
41,13,27
42,22,21
42,24,24
42,25,24
44,11,27
49,8,23
51,7,27
52,24,28
52,26,29
53,2,22
53,2,25
55,23,21
55,23,22
56,23,24
57,23,24
62,29,35
69,11,35
75,27,31
82,31,38
83,28,37
83,30,41
85,28,34
90,29,35
100,30,38
101,3,45
101,35,46
101,36,46
101,37,46
103,3,41
103,3,43
103,32,40
104,40,40
108,29,40
111,41,40
112,6,46
113,10,49
114,27,42
115,27,43
115,34,46
117,34,43
118,34,43
119,33,42
